date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:04:46	1485/1485	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2019%20Oct%202019%2015:34:46%20GMT	http://kamleshyadav.com/html/educo/educo/educo_one_instructor/js/plugins/countto/jquery.appear.js	D:/My%20Web%20Sites/Maccnetic/Home/kamleshyadav.com/html/educo/educo/educo_one_instructor/js/plugins/countto/jquery.appear.js	(from http://kamleshyadav.com/html/educo/educo/educo_one_instructor/index.html)
21:04:46	15656/15656	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2019%20Oct%202019%2015:34:46%20GMT	http://kamleshyadav.com/html/educo/educo/educo_one_instructor/js/custom.js	D:/My%20Web%20Sites/Maccnetic/Home/kamleshyadav.com/html/educo/educo/educo_one_instructor/js/custom.js	(from http://kamleshyadav.com/html/educo/educo/educo_one_instructor/index.html)
21:04:47	50532/50532	---MCZ	200	added ('OK')	text/css	date:Sat,%2019%20Oct%202019%2015:34:46%20GMT	http://kamleshyadav.com/html/educo/educo/educo_one_instructor/css/fonts.css	D:/My%20Web%20Sites/Maccnetic/Home/kamleshyadav.com/html/educo/educo/educo_one_instructor/css/fonts.css	(from http://kamleshyadav.com/html/educo/educo/educo_one_instructor/css/main.css)
21:04:47	146010/146010	---MCZ	200	added ('OK')	text/css	date:Sat,%2019%20Oct%202019%2015:34:47%20GMT	http://kamleshyadav.com/html/educo/educo/educo_one_instructor/css/bootstrap.css	D:/My%20Web%20Sites/Maccnetic/Home/kamleshyadav.com/html/educo/educo/educo_one_instructor/css/bootstrap.css	(from http://kamleshyadav.com/html/educo/educo/educo_one_instructor/css/main.css)
21:04:47	37414/37414	---MCZ	200	added ('OK')	text/css	date:Sat,%2019%20Oct%202019%2015:34:47%20GMT	http://kamleshyadav.com/html/educo/educo/educo_one_instructor/css/font-awesome.css	D:/My%20Web%20Sites/Maccnetic/Home/kamleshyadav.com/html/educo/educo/educo_one_instructor/css/font-awesome.css	(from http://kamleshyadav.com/html/educo/educo/educo_one_instructor/css/main.css)
21:04:48	6282/6282	---MCZ	200	added ('OK')	text/css	date:Sat,%2019%20Oct%202019%2015:34:47%20GMT	http://kamleshyadav.com/html/educo/educo/educo_one_instructor/css/owl.carousel.css	D:/My%20Web%20Sites/Maccnetic/Home/kamleshyadav.com/html/educo/educo/educo_one_instructor/css/owl.carousel.css	(from http://kamleshyadav.com/html/educo/educo/educo_one_instructor/css/main.css)
21:04:48	72259/72259	---MCZ	200	added ('OK')	text/css	date:Sat,%2019%20Oct%202019%2015:34:47%20GMT	http://kamleshyadav.com/html/educo/educo/educo_one_instructor/css/animate.css	D:/My%20Web%20Sites/Maccnetic/Home/kamleshyadav.com/html/educo/educo/educo_one_instructor/css/animate.css	(from http://kamleshyadav.com/html/educo/educo/educo_one_instructor/css/main.css)
21:04:49	113118/113118	---MCZ	200	added ('OK')	text/css	date:Sat,%2019%20Oct%202019%2015:34:48%20GMT	http://kamleshyadav.com/html/educo/educo/educo_one_instructor/css/style.css	D:/My%20Web%20Sites/Maccnetic/Home/kamleshyadav.com/html/educo/educo/educo_one_instructor/css/style.css	(from http://kamleshyadav.com/html/educo/educo/educo_one_instructor/css/main.css)
21:04:49	35764/35764	---MCZ	200	added ('OK')	text/css	date:Sat,%2019%20Oct%202019%2015:34:48%20GMT	http://kamleshyadav.com/html/educo/educo/educo_one_instructor/js/plugins/revel/settings.css	D:/My%20Web%20Sites/Maccnetic/Home/kamleshyadav.com/html/educo/educo/educo_one_instructor/js/plugins/revel/settings.css	(from http://kamleshyadav.com/html/educo/educo/educo_one_instructor/css/main.css)
21:04:50	187067/187067	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2019%20Oct%202019%2015:34:49%20GMT	http://kamleshyadav.com/html/educo/educo/educo_one_instructor/course.html	D:/My%20Web%20Sites/Maccnetic/Home/kamleshyadav.com/html/educo/educo/educo_one_instructor/course.html	(from http://kamleshyadav.com/html/educo/educo/educo_one_instructor/courses.html)
21:04:51	25658/25658	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20Oct%202019%2015:34:49%20GMT	http://kamleshyadav.com/html/educo/educo/educo_one_instructor/images/content/about.jpg	D:/My%20Web%20Sites/Maccnetic/Home/kamleshyadav.com/html/educo/educo/educo_one_instructor/images/content/about.jpg	(from http://kamleshyadav.com/html/educo/educo/educo_one_instructor/about.html)
21:05:08	100352/100352	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20Oct%202019%2015:34:51%20GMT	http://kamleshyadav.com/html/educo/educo/educo_one_instructor/images/slider/sec1_s5_big.jpg	D:/My%20Web%20Sites/Maccnetic/Home/kamleshyadav.com/html/educo/educo/educo_one_instructor/images/slider/sec1_s5_big.jpg	(from http://kamleshyadav.com/html/educo/educo/educo_one_instructor/courses.html)
21:05:11	146619/146619	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20Oct%202019%2015:34:50%20GMT	http://kamleshyadav.com/html/educo/educo/educo_one_instructor/images/slider/sec1_s9_big.jpg	D:/My%20Web%20Sites/Maccnetic/Home/kamleshyadav.com/html/educo/educo/educo_one_instructor/images/slider/sec1_s9_big.jpg	(from http://kamleshyadav.com/html/educo/educo/educo_one_instructor/courses.html)
21:05:12	128799/128799	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20Oct%202019%2015:34:51%20GMT	http://kamleshyadav.com/html/educo/educo/educo_one_instructor/images/slider/sec1_s8_big.jpg	D:/My%20Web%20Sites/Maccnetic/Home/kamleshyadav.com/html/educo/educo/educo_one_instructor/images/slider/sec1_s8_big.jpg	(from http://kamleshyadav.com/html/educo/educo/educo_one_instructor/courses.html)
21:05:14	136652/136652	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20Oct%202019%2015:34:52%20GMT	http://kamleshyadav.com/html/educo/educo/educo_one_instructor/images/slider/sec1_s2_big.jpg	D:/My%20Web%20Sites/Maccnetic/Home/kamleshyadav.com/html/educo/educo/educo_one_instructor/images/slider/sec1_s2_big.jpg	(from http://kamleshyadav.com/html/educo/educo/educo_one_instructor/courses.html)
21:05:27	88633/88633	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20Oct%202019%2015:35:12%20GMT	http://kamleshyadav.com/html/educo/educo/educo_one_instructor/images/slider/sec1_s6_big.jpg	D:/My%20Web%20Sites/Maccnetic/Home/kamleshyadav.com/html/educo/educo/educo_one_instructor/images/slider/sec1_s6_big.jpg	(from http://kamleshyadav.com/html/educo/educo/educo_one_instructor/courses.html)
21:05:28	120492/120492	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20Oct%202019%2015:35:08%20GMT	http://kamleshyadav.com/html/educo/educo/educo_one_instructor/images/slider/sec1_s10_big.jpg	D:/My%20Web%20Sites/Maccnetic/Home/kamleshyadav.com/html/educo/educo/educo_one_instructor/images/slider/sec1_s10_big.jpg	(from http://kamleshyadav.com/html/educo/educo/educo_one_instructor/courses.html)
21:05:30	121276/121276	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20Oct%202019%2015:35:11%20GMT	http://kamleshyadav.com/html/educo/educo/educo_one_instructor/images/slider/sec1_s7_big.jpg	D:/My%20Web%20Sites/Maccnetic/Home/kamleshyadav.com/html/educo/educo/educo_one_instructor/images/slider/sec1_s7_big.jpg	(from http://kamleshyadav.com/html/educo/educo/educo_one_instructor/courses.html)
21:05:43	103737/103737	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20Oct%202019%2015:35:27%20GMT	http://kamleshyadav.com/html/educo/educo/educo_one_instructor/images/slider/sec1_s3_big.jpg	D:/My%20Web%20Sites/Maccnetic/Home/kamleshyadav.com/html/educo/educo/educo_one_instructor/images/slider/sec1_s3_big.jpg	(from http://kamleshyadav.com/html/educo/educo/educo_one_instructor/courses.html)
21:05:47	204869/204869	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20Oct%202019%2015:35:14%20GMT	http://kamleshyadav.com/html/educo/educo/educo_one_instructor/images/slider/sec1_s4_big.jpg	D:/My%20Web%20Sites/Maccnetic/Home/kamleshyadav.com/html/educo/educo/educo_one_instructor/images/slider/sec1_s4_big.jpg	(from http://kamleshyadav.com/html/educo/educo/educo_one_instructor/courses.html)
21:05:53	137331/137331	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20Oct%202019%2015:35:31%20GMT	http://kamleshyadav.com/html/educo/educo/educo_one_instructor/images/slider/sec1_s13_big.jpg	D:/My%20Web%20Sites/Maccnetic/Home/kamleshyadav.com/html/educo/educo/educo_one_instructor/images/slider/sec1_s13_big.jpg	(from http://kamleshyadav.com/html/educo/educo/educo_one_instructor/course_sidebar.html)
21:05:56	75934/75934	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20Oct%202019%2015:35:44%20GMT	http://kamleshyadav.com/html/educo/educo/educo_one_instructor/images/slider/sec1_s11_big.jpg	D:/My%20Web%20Sites/Maccnetic/Home/kamleshyadav.com/html/educo/educo/educo_one_instructor/images/slider/sec1_s11_big.jpg	(from http://kamleshyadav.com/html/educo/educo/educo_one_instructor/course_sidebar.html)
21:05:57	184423/184423	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20Oct%202019%2015:35:28%20GMT	http://kamleshyadav.com/html/educo/educo/educo_one_instructor/images/slider/sec1_s12_big.jpg	D:/My%20Web%20Sites/Maccnetic/Home/kamleshyadav.com/html/educo/educo/educo_one_instructor/images/slider/sec1_s12_big.jpg	(from http://kamleshyadav.com/html/educo/educo/educo_one_instructor/course_sidebar.html)
21:06:08	132893/132893	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20Oct%202019%2015:35:47%20GMT	http://kamleshyadav.com/html/educo/educo/educo_one_instructor/images/slider/sec1_s16_big.jpg	D:/My%20Web%20Sites/Maccnetic/Home/kamleshyadav.com/html/educo/educo/educo_one_instructor/images/slider/sec1_s16_big.jpg	(from http://kamleshyadav.com/html/educo/educo/educo_one_instructor/course_sidebar.html)
21:06:09	1676/1676	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20Oct%202019%2015:36:09%20GMT	http://kamleshyadav.com/html/educo/educo/educo_one_instructor/images/content/about_small.jpg	D:/My%20Web%20Sites/Maccnetic/Home/kamleshyadav.com/html/educo/educo/educo_one_instructor/images/content/about_small.jpg	(from http://kamleshyadav.com/html/educo/educo/educo_one_instructor/course_single.html)
21:06:11	85537/85537	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20Oct%202019%2015:35:57%20GMT	http://kamleshyadav.com/html/educo/educo/educo_one_instructor/images/content/Single_course_bg.jpg	D:/My%20Web%20Sites/Maccnetic/Home/kamleshyadav.com/html/educo/educo/educo_one_instructor/images/content/Single_course_bg.jpg	(from http://kamleshyadav.com/html/educo/educo/educo_one_instructor/course_single.html)
21:06:14	29998/29998	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20Oct%202019%2015:36:09%20GMT	http://kamleshyadav.com/html/educo/educo/educo_one_instructor/images/content/S01.jpg	D:/My%20Web%20Sites/Maccnetic/Home/kamleshyadav.com/html/educo/educo/educo_one_instructor/images/content/S01.jpg	(from http://kamleshyadav.com/html/educo/educo/educo_one_instructor/course_single.html)
21:06:16	27804/27804	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20Oct%202019%2015:36:11%20GMT	http://kamleshyadav.com/html/educo/educo/educo_one_instructor/images/content/S02.jpg	D:/My%20Web%20Sites/Maccnetic/Home/kamleshyadav.com/html/educo/educo/educo_one_instructor/images/content/S02.jpg	(from http://kamleshyadav.com/html/educo/educo/educo_one_instructor/course_single.html)
21:06:19	30854/30854	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20Oct%202019%2015:36:14%20GMT	http://kamleshyadav.com/html/educo/educo/educo_one_instructor/images/content/S03.jpg	D:/My%20Web%20Sites/Maccnetic/Home/kamleshyadav.com/html/educo/educo/educo_one_instructor/images/content/S03.jpg	(from http://kamleshyadav.com/html/educo/educo/educo_one_instructor/course_single.html)
21:06:20	27573/27573	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20Oct%202019%2015:36:16%20GMT	http://kamleshyadav.com/html/educo/educo/educo_one_instructor/images/content/S04.jpg	D:/My%20Web%20Sites/Maccnetic/Home/kamleshyadav.com/html/educo/educo/educo_one_instructor/images/content/S04.jpg	(from http://kamleshyadav.com/html/educo/educo/educo_one_instructor/course_single.html)
